"CID","Pincode","CityName/AreaName","State","Latitude","Longitude"
"5794","758045","Udayapur","Orisa","21.710681915283203","85.861312866210940"
"5795","758046","Turumunga","Orisa","21.754594802856445","85.752754211425780"
"5796","758079","Janghira","Orisa","21.414793014526367","85.639198303222660"
"5797","759001","Baji Chowk","Orisa","20.651443481445312","85.597114562988280"
"5798","759014","Mahimagadi","Orisa","20.814401626586914","85.697830200195310"
"5799","759018","Kamakhyanagar","Orisa","20.931766510009766","85.529106140136720"
"5800","759019","Hindol Road R S","Orisa","20.775497436523438","85.400741577148440"
"5801","759020","Balimi","Orisa","20.679632186889650","85.275733947753900"
"5802","759021","Rasol","Orisa","20.627935409545900","85.321807861328120"
"5803","759022","Hindol","Orisa","20.607711791992188","85.200813293457030"
"5804","759025","Gadasila","Orisa","20.688493728637695","85.541015625000000"
"5805","759026","Analabereni","Orisa","20.792972564697266","85.519752502441400"
"5806","759028","Kankadahad","Orisa","21.067771911621094","85.569877624511720"
"5807","759039","Badasualo","Orisa","20.917325973510742","85.666374206542970"
"5808","759101","Talcher Thermal","Orisa","20.908763885498047","85.216407775878900"
"5809","759103","Dera Colliary","Orisa","20.954916000366210","85.093299865722660"
"5810","759104","Chainpal Colony","Orisa","20.920282363891600","85.222518920898440"
"5811","759106","Vikrampur","Orisa","20.831804275512695","85.098739624023440"
"5812","759107","Talcher Twon","Orisa","20.947757720947266","85.235130310058600"
"5813","759116","Balanda","Orisa","20.934452056884766","85.178627014160160"
"5814","759117","Kaniha","Orisa","21.118980407714844","85.062324523925780"
"5815","759119","Pallahara","Orisa","21.433574676513672","85.191146850585940"
"5816","759120","Parjang","Orisa","20.950204849243164","85.332672119140620"
"5817","759122","Angul Bazar","Orisa","20.841817855834960","85.098663330078120"
"5818","759123","P T C Angul","Orisa","20.881416320800780","85.171096801757810"
"5819","759124","Chhendipada","Orisa","21.070863723754883","84.865180969238280"
"5820","759126","Rajkisherenagar","Orisa","20.914739608764650","84.516616821289060"
"5821","759132","Hulursinga","Orisa","20.615591049194336","85.432495117187500"
"5822","759134","Handapa","Orisa","20.950698852539062","84.686073303222660"
"5823","759141","Bagdia","Orisa","21.050666809082030","84.818656921386720"
"5824","759145","Nalco Nagar","Orisa","20.845275878906250","85.156921386718750"
"5825","760001","Badakemundi Street","Orisa","19.312658309936523","84.797225952148440"
"5826","760002","Park Street","Orisa","19.314840316772460","84.775482177734380"
"5827","760004","Baidyanathpur","Orisa","19.308599472045900","84.808006286621100"
"5828","760005","Hilpatna (Berhampur5)","Orisa","19.299970626831055","84.796241760253900"
"5829","760007","University","Orisa","19.315570831298828","84.874160766601560"
"5830","760008","Lanjipalli (Berhampur-8)","Orisa","19.307264328002930","84.815979003906250"
"5831","760009","Nabeen (Berhampur-9)","Orisa","19.319700241088867","84.787940979003900"
"5832","760010","Engineering School Berham","Orisa","19.313636779785156","84.830871582031250"
"5833","761001","Nimakhandi","Orisa","19.353536605834960","84.811027526855470"
"5834","761004","Patrapur (Gm)","Orisa","19.124898910522460","84.578269958496100"
"5835","761005","Jaradagad","Orisa","19.074626922607422","84.502677917480470"
"5836","761006","Jayantipur","Orisa","19.068593978881836","84.590415954589840"
"5837","761007","Padmanbhapur","Orisa","19.355129241943360","84.564781188964840"
"5838","761008","Golanthra","Orisa","19.191148757934570","84.761764526367190"
"5839","761009","Girisola","Orisa","19.158067703247070","84.728988647460940"
"5840","761010","Chikati","Orisa","19.195388793945312","84.619354248046880"
"5841","761013","Pattopur","Orisa","19.448554992675780","84.613533020019530"
"5842","761016","R Udaigiri","Orisa","19.054178237915040","84.372917175292970"
"5843","761017","Chandragiri","Orisa","19.262489318847656","84.286361694335940"
"5844","761020","New Reserve","Orisa","19.361038208007812","84.992408752441400"
"5845","761026","Ganjam","Orisa","19.417325973510742","84.979728698730470"
"5846","761027","Humma","Orisa","19.432407379150390","85.075935363769530"
"5847","761028","Rambha","Orisa","19.510034561157227","85.074539184570310"
"5848","761041","Badakharida","Orisa","19.573514938354492","84.851760864257810"
"5849","761043","Pandia","Orisa","19.511716842651367","84.835586547851560"
"5850","761101","Kanchuru","Orisa","19.434867858886720","84.754478454589840"
"5851","761102","Hinjilicut","Orisa","19.478240966796875","84.762969970703120"
"5852","761105","Ranipada","Orisa","19.685083389282227","84.827209472656250"
"5853","761107","Dharakote","Orisa","19.643350601196290","84.560165405273440"
"5854","761110","Taluk Office Road Aska","Orisa","19.609315872192383","84.668624877929690"
"5855","761111","Aska College Square","Orisa","19.593259811401367","84.729293823242190"
"5856","761118","Badadandasahi","Orisa","19.821044921875000","84.796188354492190"
"5857","761119","Badadanda Sahi","Orisa","19.855569839477540","84.635658264160160"
"5858","761121","Jaganathprasad","Orisa","19.961696624755860","84.775466918945310"
